Location,Description,Depth (cm),#,pH,Fe,Fetotsd,Fe2,Fe2sd,Fe3,DOC,DOCsd,DTN,DTNsd,DIN,DINsd,DON,DONsd,C/Ndis,NH4,NH4sd,Mg,Mgsd,Ca,Casd,NO3,NO3sd,SO4,SO4sd
3,Burned 3,12,5,6.98,3.614,0.664856167,2.771,0.405033239,0.843,152.695,11.1786156,1.899,0.516092413,0.768,0.299160993,1.131,0.21693142,80.40810953,0.447,0.041657189,6.121,0.573000136,31.7,5.225005082,0.321,0.082229572,1.787,0.16058913
3,Burned 3,9,6,7.16,2.822,0.471611574,2.048,0.346153078,0.774,143.678,6.07068148,1.466,0.252160191,0.798,0.173555404,0.668,0.078604787,98.00682128,0.489,0.064951991,5.591,0.3129657,30.91,9.888883632,0.309,0.094950617,1.839,0.068335363
3,Burned 3,6,7,7.39,3.345,0.46224231,2.548,0.9111883,0.797,104.822,9.025605503,1.397,0.173487315,1.12,0.108539565,0.277,0.06494775,75.03364352,0.312,0.044640429,4.091,1.090279205,20.91,0.619445084,0.808,0.043591815,2.315,0.515859771
3,Burned 3,3,8,7.55,5.282,0.057327376,3.421,0.160789977,1.861,78.897,10.22971931,2.43,1.269568785,1.033,0.651494931,1.397,0.618073854,32.46790123,0.228,0.049532267,3.432,0.439919059,12.38,2.372160769,0.805,0.033421078,3.336,0.493477211
3,Burned 3,0,9,7.62,5.812,1.814438024,2.931,0.781189594,2.881,83.823,13.14401257,2.281,0.765059679,1.117,0.396238901,1.164,0.368820777,36.74835598,0.121,0.064309162,3.636,0.934144087,11.16,4.213972652,0.996,0.027418124,3.124,0.276980805
4,Unburned,24,1,6.5,3.886,0.989584905,3.264,0.746334839,0.622,75.339,5.11895915,2.819,0.864674828,0.795,0.435617658,2.024,0.42905717,26.72543455,0.772,0.047006801,4.419,0.429604562,39.196,6.480372858,0.023,0.006560488,0.082,0.011546546
4,Unburned,21,2,6.62,3.866,1.231805848,3.622,0.27849823,0.244,79.821,14.8087457,2.367,1.629549327,0.959,0.823573011,1.408,0.805976316,33.72243346,0.875,0.110968238,4.618,1.065832415,31.695,7.017771251,0.084,0.017596694,0.341,0.07224268
4,Unburned,18,3,6.79,4.118,0.048136234,3.121,0.412588642,0.997,84.242,4.345377541,2.119,1.060478374,1.082,0.532109807,1.037,0.528368567,39.75554507,0.995,7.37E-05,3.599,0.620064633,30.667,8.890670556,0.087,0.003741239,0.971,0.292370612
4,Unburned,15,4,6.78,4.541,0.362735796,3.663,0.470302345,0.878,75.271,18.88157916,1.327,0.100598154,0.639,0.053118576,0.688,0.047479578,56.72268274,0.611,0.135434702,3.239,0.097901374,29.841,2.332089725,0.098,0.005638999,1.161,0.282294809
4,Unburned,12,5,6.85,3.681,0.555997803,2.339,0.010399525,1.342,73.997,8.490109947,1.318,0.095784992,0.68,0.051091583,0.638,0.044693408,56.14339909,0.642,0.059977093,2.137,0.238080485,34.825,3.987403393,0.078,0.006398175,1.255,0.47269992
4,Unburned,9,6,6.98,4.041,0.359009478,1.887,0.602681866,2.154,73.751,5.790613836,2.265,0.425345714,0.428,0.243035778,1.837,0.182309936,32.5611479,0.311,0.045051967,2.068,0.533704017,39.945,4.437776576,0.117,0.060725842,1.189,0.159978583
4,Unburned,6,7,7.03,3.844,0.956403638,1.957,0.068283931,1.887,75.713,19.5221197,3.117,1.721242391,0.358,0.881942747,2.759,0.839299644,24.29034328,0.237,0.03411001,2.135,0.230542385,34.176,8.70984651,0.121,0.042643103,1.238,0.465182331
4,Unburned,3,8,7.1,3.013,0.251973013,0.794,0.18444848,2.219,67.271,10.17873323,2.78,0.90146592,0.706,0.492551232,2.074,0.408914688,24.19820144,0.259,0.118826715,1.351,0.455306473,30.286,8.081084953,0.447,0.083636544,1.457,0.214960073
4,Unburned,0,9,7.22,4.506,1.182600392,0.844,0.136380005,3.662,65.132,7.117642849,3.282,1.948947379,0.69,1.001076923,2.592,0.947870456,19.84521633,0.219,0.023678864,1.672,0.470809409,31.237,9.695893582,0.471,0.053206467,1.376,0.271090295
